PCP_Specific Surface Area (BET)_value,PCP_Total Pore Volume_value,PCP_Micropore Volume_value,PCP_Micropore Specific Surface Area_value,PCP_Mesopore Volume_value,PCP_Average Pore Diameter_value,PCP_Degree of Graphitization (Raman ID_IG)_value,PCP_Interlayer Spacing (XRD d002)_value,PCP_Element Content_C_value,PCP_Element Content_N_value,PCP_Element Content_O_value,PCP_Element Content_H_value,PCP_Element Content_S_value,Electrochem_Specific Capacitance_condition_value,Electrochem_Specific Capacitance_value,Electrochem_Cycle Stability_Cycle Number_value,Electrochem_Cycle Stability_Capacity Retention_value,Electrochem_Energy Density_value,Electrochem_Power Density_value,Electrochem_Voltage Window_value_min,Electrochem_Voltage Window_value_max,Electrochem_ESR_value,Electrochem_Rct_value,Preparation_Carbonization Temperature_value,doi
690.0,,,,0.0,,,,,,,,,10.0,16.4,,,,,-0.4,0.6,,0.29,750.0,10.1016_j.carbon.2015.12.095_extracted_structured
1470.0,,,,0.3,,,,,,,,,10.0,74.9,,,,,-0.4,0.6,,0.16,850.0,10.1016_j.carbon.2015.12.095_extracted_structured
2140.0,,,,0.25,,,,,,,,,10.0,93.9,,,,,-0.4,0.6,,0.11,950.0,10.1016_j.carbon.2015.12.095_extracted_structured
2680.0,1.54,0.83,,0.71,,,,,,,,,10.0,109.9,1000.0,100.0,,,-0.4,0.6,,0.08,,10.1016_j.carbon.2015.12.095_extracted_structured
2680.0,1.54,0.83,,0.71,,,,,,,,,,16.4,1000.0,100.0,,,-0.4,0.6,,0.08,,10.1016_j.carbon.2015.12.095_extracted_structured
213.0,,,,,,,,91.8,5.37,2.43,,,1.0,213.0,,,,,-1.0,0.0,,,600.0,10.1016_j.ensm.2019.07.009_extracted_structured
229.8,,,,,,,,87.18,9.97,1.83,,,1.0,229.8,,,,,-1.0,0.0,,,700.0,10.1016_j.ensm.2019.07.009_extracted_structured
,,,,,,,,87.3,10.95,1.46,,,1.0,342.4,,,,,-1.0,0.0,0.73,0.33,800.0,10.1016_j.ensm.2019.07.009_extracted_structured
,,,,,,,,87.3,10.95,1.46,,,0.5,351.0,,,,,-1.0,0.0,0.73,0.33,800.0,10.1016_j.ensm.2019.07.009_extracted_structured
,,,,,,,,87.3,10.95,1.46,,,1.0,342.0,,,,,-1.0,0.0,0.73,0.33,800.0,10.1016_j.ensm.2019.07.009_extracted_structured
,,,,,,,,87.3,10.95,1.46,,,10.0,268.0,,,,,-1.0,0.0,0.73,0.33,800.0,10.1016_j.ensm.2019.07.009_extracted_structured
3209.0,,,,,,,,80.48,,1.11,,,1.0,284.6,,,,,-1.0,0.0,,,900.0,10.1016_j.ensm.2019.07.009_extracted_structured
,,,,,,,,83.81,4.7,11.49,,,,,,,,,-1.0,0.0,,,800.0,10.1016_j.ensm.2019.07.009_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,,10.1016_j.seppur.2024.127955_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,,10.1016_j.ijbiomac.2019.04.004_extracted_structured
,,,,,,,,,,,,,,,,,,,1.0,3.0,,,600.0,10.1016_j.ceramint.2016.10.158_extracted_structured
,,,,,,0.87,,,,,,,,,,,,,1.0,3.0,,,600.0,10.1016_j.ceramint.2016.10.158_extracted_structured
2015.0,0.727,,,,2.435,0.92,,,,,,,,,50.0,,,,1.0,3.0,,,800.0,10.1016_j.ceramint.2016.10.158_extracted_structured
589.017,0.5465,0.2695,329.677,0.277,3.71,,,81.97,,13.88,,,1.0,245.0,,,34.67,97.68,0.0,1.0,0.015,,700.0,10.1016_j.est.2021.102823_extracted_structured
589.017,0.5465,0.2695,329.677,0.277,3.71,,,81.97,,13.88,,,1.0,211.0,,,34.67,97.68,0.0,1.0,0.015,,700.0,10.1016_j.est.2021.102823_extracted_structured
623.491,0.6941,0.1971,333.993,0.497,4.45,,,86.52,,11.25,,,1.0,245.0,,77.2,34.67,122.74,0.0,1.0,0.015,,800.0,10.1016_j.est.2021.102823_extracted_structured
623.491,0.6941,0.1971,333.993,0.497,4.45,,,86.52,,11.25,,,1.0,189.0,,77.2,34.67,122.74,0.0,1.0,0.015,,800.0,10.1016_j.est.2021.102823_extracted_structured
546.121,0.4795,0.18,336.0,0.2995,3.51,,,80.22,,16.41,,,1.0,192.0,,,,,0.0,1.0,0.036,,900.0,10.1016_j.est.2021.102823_extracted_structured
546.121,0.4795,0.18,336.0,0.2995,3.51,,,80.22,,16.41,,,1.0,149.0,,,,,0.0,1.0,0.036,,900.0,10.1016_j.est.2021.102823_extracted_structured
1165.0,1.03,,,,3.5,,,,,,,,,,,,,,,,,,600.0,10.1016_j.micromeso.2017.08.048_extracted_structured
,,,,,2.5,0.99,,,,,,,,,,,,,,,,,700.0,10.1016_j.micromeso.2017.08.048_extracted_structured
2799.0,1.91,,,,,0.96,,,,,,,,,,,,,,,,,800.0,10.1016_j.micromeso.2017.08.048_extracted_structured
2799.0,1.91,,,,2.5,1.03,,,,,,,,,,,,,,,,,900.0,10.1016_j.micromeso.2017.08.048_extracted_structured
663.0,0.33,,571.74,,,1.21,,84.82,1.44,11.76,,,,,,,,,0.0,1.0,1.25,2.046,600.0,10.1016_j.apt.2016.04.033_extracted_structured
663.0,0.33,,571.74,,,1.21,,84.82,1.44,11.76,,,,91.26,,,,,0.0,1.0,1.25,2.046,600.0,10.1016_j.apt.2016.04.033_extracted_structured
