PCP_Specific Surface Area (BET)_value,PCP_Total Pore Volume_value,PCP_Micropore Volume_value,PCP_Micropore Specific Surface Area_value,PCP_Mesopore Volume_value,PCP_Average Pore Diameter_value,PCP_Degree of Graphitization (Raman ID_IG)_value,PCP_Interlayer Spacing (XRD d002)_value,PCP_Element Content_C_value,PCP_Element Content_N_value,PCP_Element Content_O_value,PCP_Element Content_H_value,PCP_Element Content_S_value,Electrochem_Specific Capacitance_condition_value,Electrochem_Specific Capacitance_value,Electrochem_Cycle Stability_Cycle Number_value,Electrochem_Cycle Stability_Capacity Retention_value,Electrochem_Energy Density_value,Electrochem_Power Density_value,Electrochem_Voltage Window_value_min,Electrochem_Voltage Window_value_max,Electrochem_ESR_value,Electrochem_Rct_value,Preparation_Carbonization Temperature_value,doi,Sample Name,evaluation_result,evaluation_reason
2097.0,1.62,1.12,1569.0,0.5,2.1,1.06,,91.61,,8.18,,0.21,1.0,313.0,6000.0,94.0,,,-1.0,0.0,0.73,0.33,700.0,10.1016_j.est.2023.109094_extracted_structured,c-ph,F,"提取的PCP_Total Pore Volume_value为1.62，但原文中C-PH样本的总孔体积为1.10 m³/g（原文：'the total pore volume of pores of the C-PC, C-SH, and C-PH was determined to be 1.62, 1.02, and 1.10 m3 g−1'），1.62对应C-PC样本，而非C-PH。提取的PCP_Micropore Volume_value为1.12，但原文中C-PH的微孔体积应为总孔体积1.10 m³/g的69.1%（即1.10 × 0.691 ≈ 0.760 m³/g），原文未提供1.12的值。提取的PCP_Mesopore Volume_value为0.5，但原文未直接给出C-PH的介孔体积，基于总孔体积1.10 m³/g和微孔体积0.760 m³/g计算，介孔体积应为约0.340 m³/g，而非0.5。这些错误源于样本混淆（C-PH与C-PC数据错配）。"
2097.0,1.62,1.12,1569.0,0.5,2.1,1.06,,91.61,,8.18,,0.21,1.0,295.0,6000.0,94.0,,,-1.0,0.0,0.73,0.33,700.0,10.1016_j.est.2023.109094_extracted_structured,c-ph,,
2097.0,1.62,1.12,1569.0,0.5,2.1,1.06,,91.61,,8.18,,0.21,1.0,281.0,6000.0,94.0,,,-1.0,0.0,0.73,0.33,700.0,10.1016_j.est.2023.109094_extracted_structured,c-ph,F,提取的信息存在多处不准确或缺失：1) Sample Name 应为 'C-PH'（原文大写），但提取为 'c-ph'（小写），大小写不一致；2) PCP_Micropore Volume_value 提取为 1.62，但原文中 C-PH 的总孔体积为 1.10 m³/g，微孔贡献 69.1%，计算微孔体积应为 1.10 × 0.691 ≈ 0.760 m³/g，而非 1.62（1.62 是 C-PC 的总孔体积）；3) PCP_Mesopore Volume_value 提取为 0.5，但原文未直接给出 C-PH 的介孔体积，基于总孔体积 1.10 m³/g 和微孔体积 0.760 m³/g 计算，介孔体积应为 1.10 - 0.760 = 0.340 m³/g，0.5 为虚构值；4) Electrochem_Energy Density_value 和 Electrochem_Power Density_value 提取为 null，但原文明确提供数据（例如，质量负载 3 mg 时能量密度 9.7 Wh kg⁻¹、功率密度 253 W kg⁻¹），不应为 null；5) PCP_Total Pore Volume_value 提取为 1.62，但原文中 C-PH 的总孔体积为 1.10 m³/g（1.62 是 C-PC 的值），材料混淆。
2097.0,1.62,1.12,1569.0,0.5,2.1,1.06,,91.61,,8.18,,0.21,1.0,265.0,6000.0,94.0,,,-1.0,0.0,0.73,0.33,700.0,10.1016_j.est.2023.109094_extracted_structured,c-ph,,
2097.0,1.62,1.12,1569.0,0.5,2.1,1.06,,91.61,,8.18,,0.21,1.0,249.0,6000.0,94.0,,,-1.0,0.0,0.73,0.33,700.0,10.1016_j.est.2023.109094_extracted_structured,c-ph,,
1532.0,1.02,0.35,721.0,0.67,2.7,1.03,,91.19,,8.52,,0.29,1.0,292.0,,,,,-1.0,0.0,0.83,0.52,700.0,10.1016_j.est.2023.109094_extracted_structured,c-sh,,
1532.0,1.02,0.35,721.0,0.67,2.7,1.03,,91.19,,8.52,,0.29,5.0,273.0,,,,,-1.0,0.0,0.83,0.52,700.0,10.1016_j.est.2023.109094_extracted_structured,c-sh,T,所有提取的数值、单位和材料名称均与原文完全对应。物理化学性质数据（如比表面积1532 m²/g、总孔体积1.02 m³/g等）直接来自原文'3.1 Physicochemical properties'部分对C-SH样本的描述；电化学性质数据（如5 A/g电流密度下比电容273 F/g、电压窗口-1.0至0.0 V、ESR 0.83 Ohm等）直接来自原文'3.2 Electrochemical performances'部分对C-SH在三电极系统中的测试结果；制备温度700°C直接来自'2.2 Sample preparation'部分。缺失数据（如氮/氢含量、循环稳定性等）正确标记为null，因原文未提供相关信息。所有数据均无虚构或推断，完全基于原文支撑。
1532.0,1.02,0.35,721.0,0.67,2.7,1.03,,91.19,,8.52,,0.29,10.0,260.0,,,,,-1.0,0.0,0.83,0.52,700.0,10.1016_j.est.2023.109094_extracted_structured,c-sh,,
1532.0,1.02,0.35,721.0,0.67,2.7,1.03,,91.19,,8.52,,0.29,1.0,274.0,,,,,-1.0,0.0,0.83,0.52,700.0,10.1016_j.est.2023.109094_extracted_structured,c-sh,,
1080.0,1.1,0.12,356.0,0.98,6.0,1.01,,90.07,,9.62,,0.31,1.0,276.0,,,,,-1.0,0.0,1.4,0.47,700.0,10.1016_j.est.2023.109094_extracted_structured,c-pc,F,提取的PCP_Micropore Volume_value和PCP_Mesopore Volume_value是推断值，原文未直接提供具体数值；Electrochem_ESR_value提取为1.4，但原文中C-PC的RΩ值为1.14 Ohm；Sample Name提取为'c-pc'，但原文中材料名称为'C-PC'，大小写不一致。
1080.0,1.1,0.12,356.0,0.98,6.0,1.01,,90.07,,9.62,,0.31,5.0,252.0,,,,,-1.0,0.0,1.4,0.47,700.0,10.1016_j.est.2023.109094_extracted_structured,c-pc,F,"提取的信息中存在多处不准确或未得到原文支持的数据点：1) PCP_Total Pore Volume_value 提取为 1.1 m³/g，但原文中 C-PC 的总孔体积为 1.62 m³/g（原文：'The total pore volume of pores of the C-PC, C-SH, and C-PH was determined to be 1.62, 1.02, and 1.10 m3 g−1'）；2) PCP_Micropore Volume_value 提取为 0.12 m³/g，但原文中 C-PC 的微孔体积应基于总孔体积 1.62 m³/g 和微孔贡献比例 10.5% 计算，结果为约 0.1701 m³/g，而非 0.12 m³/g；3) PCP_Mesopore Volume_value 提取为 0.98 m³/g，但原文未直接给出 C-PC 的介孔体积，计算值应为总孔体积减去微孔体积（1.62 - 0.1701 ≈ 1.4499 m³/g），而非 0.98 m³/g；4) Electrochem_ESR_value 提取为 1.4 Ohm，但原文中 C-PC 的 R_Ω 值为 1.14 Ohm（原文：'The R Ω value of the C-PC, C-SH, and C-PH was 1.14, 0.83, and 0.73 Ohm, respectively'）。此外，样本名称提取为 'c-pc'，但原文中为 'C-PC'，虽大小写差异可能不影响核心数据，但严格来说未完全对应。其他数据点如比表面积、元素含量等均准确，但上述错误违反了准确性和正确性标准。"
